Hour,PV,WT,HY
469,0.467,0.677,1
470,0.527,0.706,1
471,0.528,0.742,1
472,0.493,0.759,1
473,0.385,0.744,1
474,0.262,0.654,1
475,0.122,0.451,1
476,0.039,0.323,1
477,0.001,0.315,1
478,0,0.311,0.66
479,0,0.332,0.66
480,0,0.386,0.66
481,0,0.446,0.66
482,0,0.459,0.66
483,0,0.479,0.66
484,0,0.49,0.66
485,0,0.449,0.66
486,0,0.399,0.66
487,0.015,0.261,1
488,0.075,0.129,1
489,0.167,0.158,1
490,0.243,0.315,1
491,0.309,0.294,1
492,0.36,0.117,1
493,0.604,0.054,1
494,0.679,0.071,1
495,0.671,0.212,1
496,0.572,0.334,1
497,0.46,0.337,1
498,0.353,0.279,1
499,0.206,0.214,1
500,0.066,0.148,1
501,0.004,0.13,1
502,0,0.152,0.66
503,0,0.146,0.66
504,0,0.134,0.66
505,0,0.123,0.66
506,0,0.106,0.66
507,0,0.076,0.66
508,0,0.037,0.66
509,0,0.045,0.66
510,0,0.033,0.66
511,0.004,0.01,1
512,0.031,0.009,1
513,0.076,0.006,1
514,0.134,0.001,1
515,0.195,0,1
516,0.281,0,1
517,0.413,0,1
518,0.492,0.001,1
519,0.541,0.003,1
520,0.436,0.004,1
521,0.301,0.008,1
522,0.218,0.011,1
523,0.117,0.014,1
524,0.03,0.034,1
525,0,0.077,1
526,0,0.109,0.66
527,0,0.125,0.66
528,0,0.149,0.66
529,0,0.176,0.66
530,0,0.163,0.66
531,0,0.146,0.66
532,0,0.133,0.66
533,0,0.101,0.66
534,0,0.068,0.66
535,0.025,0.045,1
536,0.11,0.019,1
537,0.28,0.005,1
538,0.454,0.002,1
539,0.59,0.009,1
540,0.684,0.036,1
541,0.736,0.068,1
542,0.745,0.097,1
543,0.705,0.121,1
544,0.627,0.13,1
545,0.518,0.128,1
546,0.361,0.126,1
547,0.192,0.118,1
548,0.06,0.113,1
549,0.002,0.158,1
550,0,0.157,0.66
551,0,0.133,0.66
552,0,0.11,0.66
553,0,0.1,0.66
554,0,0.098,0.66
555,0,0.079,0.66
556,0,0.053,0.66
557,0,0.035,0.66
558,0,0.03,0.66
559,0.02,0.029,1
560,0.101,0.01,1
